 2019-06-29 17:23:53,926 - INFO - 1.µã»÷¡¾ÃÜÂëµÇÂ½¡¿
 2019-06-29 17:23:54,033 - INFO - 2.ÊäÈë¡¾ÊÖ»úºÅ¡¢ÃÜÂë¡¿
 2019-06-29 17:41:13,397 - INFO -  * Restarting with stat
 2019-06-29 17:41:14,598 - WARNING -  * Debugger is active!
 2019-06-29 17:41:14,619 - INFO -  * Debugger PIN: 154-630-089
 2019-06-29 17:41:14,635 - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
 2019-06-29 17:41:21,420 - INFO - 127.0.0.1 - - [29/Jun/2019 17:41:21] "GET /login?username=666&password=777 HTTP/1.1" 200 -
 2019-06-29 17:43:44,632 - INFO -  * Restarting with stat
 2019-06-29 17:43:45,692 - WARNING -  * Debugger is active!
 2019-06-29 17:43:45,710 - INFO -  * Debugger PIN: 154-630-089
 2019-06-29 17:43:45,722 - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
 2019-06-29 17:43:49,843 - INFO - 127.0.0.1 - - [29/Jun/2019 17:43:49] "GET /login?username=666&password=777 HTTP/1.1" 200 -
 2019-06-29 17:44:33,128 - INFO -  * Restarting with stat
 2019-06-29 17:44:34,208 - WARNING -  * Debugger is active!
 2019-06-29 17:44:34,226 - INFO -  * Debugger PIN: 154-630-089
 2019-06-29 17:44:34,239 - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
 2019-06-29 17:44:38,671 - INFO - 127.0.0.1 - - [29/Jun/2019 17:44:38] "GET /login?username=666&password=777 HTTP/1.1" 500 -
 2019-06-29 17:44:38,708 - INFO - 127.0.0.1 - - [29/Jun/2019 17:44:38] "GET /login?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
 2019-06-29 17:44:38,711 - INFO - 127.0.0.1 - - [29/Jun/2019 17:44:38] "GET /login?__debugger__=yes&cmd=resource&f=jquery.js HTTP/1.1" 200 -
 2019-06-29 17:44:38,715 - INFO - 127.0.0.1 - - [29/Jun/2019 17:44:38] "GET /login?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
 2019-06-29 17:44:38,825 - INFO - 127.0.0.1 - - [29/Jun/2019 17:44:38] "GET /login?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
 2019-06-29 17:44:38,856 - INFO - 127.0.0.1 - - [29/Jun/2019 17:44:38] "GET /login?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
 2019-06-29 17:45:02,372 - INFO - 127.0.0.1 - - [29/Jun/2019 17:45:02] "GET /login?username=666&password=777 HTTP/1.1" 500 -
